Authors,Headings,Links,Description
Ananth Krishnan," ‘U.S. created Indo-Pacific concept to bring in India to contain China,’ says Chinese official ",https://www.thehindu.com/news/international/us-created-indo-pacific-concept-to-bring-in-india-to-contain-china-says-chinese-official/article66266771.ece,"There “is no such concept as Indo-Pacific” which was “created by the United States” to bring in partners such as India to “contain” China, a Chinese diplomat has said, reflecting Beijing’s hardening opposition to both Washington’s Indo-Pacific strategy as well as regional groupings such as the Quad.“In fact, there is no such concept as an ‘Indo-Pacific in geopolitics,” Chinese diplomat and Ambassador to France Lu Shaye said in an interaction with French journalists, a transcript of which was published on Wednesday by China’s Embassy in Paris.“It is a concept created by the U.S.”, he added. “In the past, we used to talk about the Pacific or the Asia-Pacific region, never about the Indo-Pacific. Why did the Americans include the Indian Ocean? It is because they believe their Asia-Pacific allies alone are no longer enough to contain China, they want to bring in India and other U. S. allies, such as France, which considers itself an Indo-Pacific country. This is wrong.”
‘Cold War mentality’
Asked if it was “wrong” for France to consider itself as an Indo-Pacific country, he continued: “I think it is wrong for France to position itself in this way, because it is a confrontational mentality, a Cold War mentality, and that is exactly what we are against.”His comments underline Beijing’s hardening view of both the Indo-Pacific idea as well as regional groupings such as the Quad. China officially does not use the term, and refers to the region as the Asia-Pacific.Chinese Foreign Minister Wang Yi, who initially dismissed the Quad as an idea that was as transient “as sea foam”, also struck a harder tone earlier this year, when he equated the U.S., Australia, India, Japan Quad grouping with the “Five Eyes” intelligence alliance involving the Australia, New Zealand, Canada, the U.S. and U.K. and the AUKUS (Australia-U.K.-U.S.) defence pact.“The U.S. Indo-Pacific strategy is becoming a byword for bloc politics,” he said during China’s annual Parliament session. “It professes desire for international cooperation, but in reality is stoking regional rivalry. From Five Eyes and Quad to AUKUS…. It is by no means a blessing but a sinister move. The real goal for the Indo-Pacific strategy is to establish an Indo-Pacific version of NATO.”India has strongly pushed back against China’s invoking of NATO as a comparison, and pointed to the fact that India is not a U. S. ally and the Quad was not a military alliance. Indian officials have also rejected China’s argument that the U. S. was “stoking” recent tensions in India-China relations, which New Delhi attributes to Beijing’s aggressive posture along the Line of Actual Control. Most Chinese strategic experts, in contrast, attribute the downturn in relations to India’s increasingly close ties with the U. S.
‘Foreign forces’ behind China protests
Mr. Lu, in the interview, also accused unnamed “foreign forces” for being involved in November’s protests in China against lockdowns and restrictions under the “zero-COVID” policy, which were removed finally on December 7. Beijing had initially announced easing measures in early November, but an outbreak of cases around the country that month led to only more lockdowns, fanning public frustration and culminating in protests end-November.“Some local governments did not fully understand the central government’s policies,” he said. “We had strict policies in the past but when the central government asked to ease them, they were unable to fully understand it in the first place.”“In the beginning, the Chinese public initiated the protests to express their dissatisfaction with how local governments have failed to fully implement the central government’s policies,” he added. “But the protests were soon being taken advantage of by foreign forces... The real protests only happened on the first day. Foreign forces came into play already on the second day. Foreign forces want to destroy China and overthrow the Chinese Communist Party.... This has nothing to do with the political turmoil in 1989, it was someone who intentionally linked the two things up.”

"
 AP, U.K. nurses join wave of strike action to demand better pay ,https://www.thehindu.com/news/international/uk-nurses-join-wave-of-strike-action-to-demand-better-pay/article66266802.ece,"Thousands of nurses walked off their jobs in England on Thursday, escalating a wave of industrial unrest in the U.K. this month as ambulance and postal workers, bus drivers and airport baggage handlers all stage strikes to demand better pay amid a cost-of-living crisis.Emergency hospital care will continue as normal, and nurses will still staff chemotherapy and neonatal and pediatric intensive care units, the Royal College of Nursing said. But many less urgent hospital treatments were expected to be affected across England, Wales and Northern Ireland. Although nurses did not plan to strike in Scotland, Thursday's action was described as the biggest by nurses since the U.K.'s National Health Service was established in 1948.The Royal College of Nursing has called for a pay rise at 5% above inflation, though it has indicated it would accept a lower offer. The government has said the demand was unaffordable, and talks between the two sides collapsed Monday. British Prime Minister Rishi Sunak said Wednesday that his government has “consistently spoken to all the unions involved in all the pay disputes.Train travel across the country also was severely disrupted this week as members of the Rail, Maritime and Transport union staged a strike on Tuesday and Wednesday. They also plan to stay off the job on Friday and Saturday. The strike closed around half of the U.K.'s rail lines. Some parts of the country, including most of Scotland and Wales, will have no train service.Postal workers in the Communication Workers Union also staged a fresh 48-hour national walkout this week and have more strike days scheduled during the run-up to Christmas.

"
 Reuters," Harry accuses Prince William of screaming at him, his aides of leaking stories in new Netflix series ",https://www.thehindu.com/news/international/harry-accuses-prince-william-of-screaming-at-him-his-aides-of-leaking-stories-in-new-netflix-series/article66266508.ece,"Prince Harry and his wife Meghan piled fresh criticism on the British royal family in new episodes of their Netflix documentary series released on Thursday, accusing his elder brother Prince William of being part of media attacks.William, now heir to the throne, had screamed at him when he discussed leaving his official royal role almost three years ago, Harry said, while he also added he believed the press were responsible for Meghan having a miscarriage.In the first tranche of episodes released last week, the royals had escaped relatively unscathed. But in the final three, Harry accuses his relatives of not just failing to prevent negative coverage in the press, but actively encouraging it.""It is a dirty game. There's leaking but there's also planting of stories,"" said Harry. ""So if the comms (communications) team want to be able to remove a negative story about their principal, they will trade and give you something about someone else's principal.""He said he and elder brother William, the heir to the throne, had seen what had happened with the office of their father King Charles and agreed never to repeat it.""I would far rather get destroyed in the press than play along with this game, or this business of trading,"" Harry said. ""To see my brother's office copy the very same thing that we promised the two of us would never ever do, that was heartbreaking.""The Duke and Duchess of Sussex, as Harry and Meghan are officially known, stepped down from royal duties in March 2020, saying they wanted to forge new lives in the United States away from media harassment, which the couple said had threatened to destroy their mental health.
Crisis summit
He recounted details of a crisis summit held at the Sandringham estate two months earlier he attended along with the late Queen Elizabeth, Charles, and William.
Office workers in London, watch the Duke and Duchess of Sussex’s controversial documentary being aired on Netflix
| Photo Credit:
AP
""It was terrifying to have my brother scream and shout at me, and my father say things that just simply weren't true, and my grandmother quietly sit there and sort of take it all in,"" he said.Both Buckingham Palace and William's office, Kensington Palace, have said they would not be commenting on the documentaries.A royal source also said neither the palace nor representatives of William or other royals had been approached for comment for the series itself, contradicting a Netflix statement that said they had declined to comment.The episodes were released just hours before Charles, his wife Camilla, William and his wife Kate, along with other royals, attend a carol service at London's Westminster Abbey, which will also be dedicated to the late queen whose funeral was held there in September. 
‘It’s your brother’
In another scene from the documentary, the couple were shown talking about a former senior aide to William, who provided evidence in a successful privacy lawsuit Meghan had brought against the Mail on Sunday newspaper for publishing a letter she had written to her estranged father.In his evidence the former aide, Jason Knauf, who had also worked for the couple, suggested Meghan had been aware at the time that the letter could leak.""It's your brother. Not gonna say anything about your brother, but it's so obvious,"" Meghan said.Netflix included a statement from a representative for Knauf, which said the claims were ""entirely false"".Harry also said he believed the stress of the case against the Mail had caused Meghan to lose their baby.""I believe my wife suffered a miscarriage because of what the Mail did,"" he said. ""I can say from what I saw, that miscarriage was created by what they were trying to do to her.""There was no immediate comment from the paper.
Accusations against the couple
While the couple have won awards and plaudits from some across the Atlantic for their charitable and human rights work, back in Britain, the press accuses them of seeking to make tens of millions of dollars from Netflix and others by using their royal status to constantly attack the monarchy.Newspapers have also cited former unnamed royal aides challenging the couple's narrative in the documentaries, saying there were inaccuracies in their accounts.""The truth is that negative stories about Harry and Meghan only began to leak out when their behaviour became so obnoxious that it was impossible to hide,"" wrote Rebecca English, the Royal Editor for the Daily Mail.

"
 AFP," Two killed in Russian shelling in Kherson, says Ukraine ",https://www.thehindu.com/news/international/two-killed-in-russian-shelling-in-kherson-says-ukraine/article66266437.ece,"Russian shelling on December 15, 2022, killed two people in the southern city of Kherson, the Ukrainian presidency said, in the latest such bombardment since Kyiv’s forces recaptured it last month.“The enemy hit the centre of the city again. One hundred metres from the Kherson region administrative building,” the deputy head of the president’s office, Kyrylo Tymoshenko, said on social media.
“There is information about two people killed. Emergency services are on site.”
Russian forces seized Kherson — which had a pre-war population of nearly 300,000 people — shortly after invading Ukraine in February.Ukraine’s army recaptured the city last month in a significant military and symbolic defeat for Moscow.Russian forces pulled back to the opposing bank of the Dnipro river that runs along Kherson and have since been shelling the city repeatedly, damaging key infrastructure.
Tymoshenko said earlier Thursday that Russian attacks across the entire southern Kherson region over the previous 24 hours had left three dead and 13 more injured.

"
 AP, U.N. peacekeeper killed after attack in southern Lebanon ,https://www.thehindu.com/news/international/un-peacekeeper-killed-after-attack-in-southern-lebanon/article66266358.ece,"An Irish U.N. peacekeeper was killed and several others wounded after unidentified attackers opened fire on a convoy in southern Lebanon, Irish and Lebanese military officials said Thursday.The Irish Defense Forces said in a statement said that a pair of armored vehicles carrying eight Irish UNIFIL peacekeeping troops were fired at as they drove north, toward Beirut, Tuesday night from the town of Al-Aqbiya.The Irish military added that one of the three wounded soldiers is in serious condition. It did not identify the assailants.UNIFIL confirmed that one peacekeeper was killed and three were wounded.“Our thoughts are also with the local civilians who may have been injured or frightened during the incident,” UNIFIL spokesperson Andrea Tenenti said, adding that “details are sparse and conflicting.” Tenenti added that UNIFIL is coordinating with the military and trying to “determine exactly what happened.”Irish Prime Minister Micheál Martin expressed his condolences in a statement on Twitter.“It is a reminder that our peacekeepers serve in dangerous circumstances, at all times, in the cause of peace,"" he said.Cell phone videos circulated online shows one of the two UNIFIL vehicles speeding to leave the area while it was shot at. Some residents were visible filming the incident. Another showed the vehicle had rolled over after crashing into the aluminum shutters of a building, with a wounded peacekeeper on the on ground beside it. Scuffles between southern Lebanon residents and UNIFIL troops are not uncommon. In January, unknown perpetuators attacked Irish peacekeepers in the southern town of Bint Jbeil, vandalizing their vehicles and stealing items. The residents accused them of taking photographs of residential homes, though the U.N. denied this.UNIFIL was created to oversee the withdrawal of Israeli troops from southern Lebanon after a 1978 invasion. The U.N. expanded its mission following the 2006 war, allowing peacekeepers to deploy along the Lebanon-Israel border to help the Lebanese military extend their authority into their country’s south for the first time in decades. That resolution also called for a full cessation of Israeli-Hezbollah hostilities, which has not happened.

"
 Reuters," Ukrainian forces shell Russian-controlled Donetsk, officials say ",https://www.thehindu.com/news/international/ukrainian-forces-shell-russian-controlled-donetsk-officials-say/article66266282.ece,"Ukrainian forces shelled the Russian-controlled eastern Ukrainian city of Donetsk overnight in some of the biggest attacks for years, Russian-installed officials in the annexed areas said on December 15.""At exactly 7.00 o'clock this morning they subjected the centre of Donetsk to the most massive attack since 2014,"" Alexei Kulemzin, the Russian-backed mayor of the city, said on Telegram.""Forty rockets from BM-21 Grad multiple rocket launchers were fired at civilians in our city,"" Mr. Kulemzin said. He cast the attack as a war crime.Also Read | Russian strikes thwarted, wreckage hits buildings: UkraineReuters was unable to immediately verify Mr. Kulemzin's account of what happened, and there was no immediate response to his comments from Ukrainian officials.Mr. Kulemzin told Russian state TV that preliminary information indicated that five people had been hurt in the shelling, including a child.Also Read | The ‘C’ factor in the Russia-Ukraine war Video footage released by Russia's state RIA news agency showed smoke rising from damaged buildings, debris-strewn yards and streets, burnt out cars, and what appeared to be a blood stain on a pavement next to someone's hat.Firefighters were seen dousing flames.Mr. Kulemzin, the mayor, said a kindergarten, a school, a university, a student hospital and a cathedral had been damaged in the attack.

"
 AP," Pakistan: Afghan Taliban shell border town, killing civilian ",https://www.thehindu.com/news/international/two-dead-nine-injured-in-bomb-blast-in-pakistans-northwest/article66266105.ece," Pakistani authorities on Thursday said one person was killed and 11 were wounded when Afghan Taliban forces fired mortars toward civilians near the southwestern Chaman border crossing, reflecting increasing tension between the neighboring nations.The latest violence follows a series of deadly incidents and attacks that have strained relations between Pakistan and Afghanistan’s Taliban rulers in recent months. It was not immediately clear what preceded the shots near Chaman, a key trade route between the two sides.Thursday's ongoing violence came days after seven Pakistani civilians were killed in the across-border shelling by the Taliban forces. No military spokesman was immediately available for comment and there was also no comment from the Afghan Taliban. Akhtar Mohammad, a doctor at a hospital in Chaman, said staff there received 12 wounded people following the clashes. One of them later died and some of the injured were listed in critical condition. Abdul Hameed Zehri, a government administrator in the town of Chaman in Baluchistan province, also confirmed the casualties. Security officials say Pakistan’s army responded to the Afghan fire, but did not give further details. Authorities say mortars fired by the Afghan Taliban forces also hit a truck near Chaman. They accused the Afghan Taliban forces of intentionally targeting the civilian population, The officials said the exchange of fire had subsided and Pakistani authorities were in contact with the Afghan Taliban rulers in Afghanistan to prevent any further escalation.Afghanistan’s Taliban seized the Afghan capital of Kabul last year. Since then, the countries have traded fire mainly over lingering disputes about Pakistan's construction of a fence along the Afghan border. Incidents of militant attacks on Pakistani security forces have also increased since the country's new army chief Gen. Asim Munir took the charge on Nov. 29 and replaced Qamar Javed Bajwa.On Thursday, U.S. CENTCOM chief Gen. Erik Kurilla visited Pakistan and met with Munir in the garrison city of Rawalpindi, according to a military statement. The two military leaders discussed a range of issues, including the regional stability and security cooperation. The statement said Kurilla also visited the northwestern border town of Torkham near Afghanistan.Earlier this month, Pakistan’s Embassy in Kabul came under gunfire in an attack that was later claimed by the Islamic State group. Pakistani officials at the time had called the incident an attack on its envoy there. Islamabad also has said Afghanistan’s rulers are sheltering militants who carry out deadly attacks on its soil.

"
